포지션	배번	선수	득점	도움	슈팅	파울	경고	퇴장	코너킥	오프사이드
GK	1	올리버칸	0	0	0	0	0	0	0	0
DF	25	다니엘알베스	0	0	1	1	0	0	0	0
DF	3	버질반다이크	0	0	1	2	1	0	0	0
MF	32	패트릭비에이라	0	0	3	1	0	0	0	0
MF	4	젠나로가투소	0	0	0	0	0	0	0	0
MF	5	프란츠베켄바워	0	0	0	2	0	0	0	0
MF	7	크리스티아누호날두	0	0	0	0	0	0	0	0
MF	8	지네진지단	0	0	2	0	0	0	5	1
MF	10	리오넬메시	0	0	3	0	0	0	5	1
MF	6	이강인	0	0	0	0	0	0	0	0
MF	17	손흥민	0	0	4	1	0	0	0	0
FW	24	히바우두	0	0	1	1	0	0	0	0
FW	9	호나우두	2	0	5	1	0	0	0	0
GK	1	올리버칸	0	0	0	0	0	0	0	0
DF	3	버질반다이크	0	0	0	2	0	0	0	0
DF	25	다니엘알베스	0	0	0	1	2	0	0	0
MF	11	박지성	0	0	0	2	0	0	0	0
MF	5	프란츠베켄바워	0	0	0	3	1	0	0	0
MF	6	이강인	0	0	0	0	0	0	0	0
MF	17	손흥민	0	0	0	1	0	0	0	0
MF	4	젠나로가투소	0	0	0	2	1	0	0	0
MF	10	리오넬메시	0	1	0	0	0	0	1	0
MF	8	지네진지단	1	0	2	2	0	0	3	0
MF	32	패트릭비에이라	0	0	3	3	0	0	0	0
MF	7	크리스티아누호날두	0	0	1	1	0	0	0	1
FW	20	디에고마라도나	0	0	0	1	0	0	0	0
FW	9	호나우두	1	0	4	0	0	0	0	1
GK	1	올리버칸	0	0	0	0	0	0	0	0
DF	18	파비오칸나바로	0	0	0	2	0	0	0	0
DF	16	솔캠벨	0	0	0	2	1	0	0	0
MF	32	패트릭비에이라	0	0	0	0	0	0	0	0
MF	11	박지성	0	0	0	0	0	0	0	0
MF	5	프란츠베켄바워	0	0	0	2	1	0	0	0
MF	4	젠나로가투소	0	0	1	0	0	0	0	0
MF	8	지네진지단	0	0	4	0	1	0	6	0
MF	10	리오넬메시	0	0	0	1	0	0	0	0
MF	7	크리스티아누호날두	0	0	1	0	0	0	0	1
MF	17	손흥민	0	0	0	0	0	0	0	0
FW	20	디에고마라도나	0	0	3	0	0	0	0	0
FW	9	호나우두	0	0	0	2	0	0	0	3
FW	23	킬리안음바페	0	0	0	0	0	0	0	1
GK	1	올리버칸	0	0	0	0	0	0	0	0
DF	3	버질반다이크	0	0	0	0	0	0	0	0
DF	16	솔캠벨	0	0	0	0	0	0	0	0
MF	8	지네진지단	0	0	4	0	0	0	4	0
MF	13	파블로아이마르	0	0	0	0	0	0	0	0
MF	32	패트릭비에이라	0	0	0	2	0	0	0	0
MF	6	이강인	0	0	0	0	0	0	0	0
MF	10	리오넬메시	0	0	4	0	0	0	0	0
MF	4	젠나로가투소	0	0	1	2	0	0	0	0
MF	7	크리스티아누호날두	0	0	0	1	0	0	0	0
MF	17	손흥민	0	0	0	1	0	0	0	0
MF	47	네이마르	0	0	0	1	0	0	0	0
FW	20	디에고마라도나	0	1	1	1	0	0	0	0
FW	9	호나우두	1	0	2	1	0	0	0	1
GK	1	올리버칸	0	0	0	0	1	0	0	0
DF	16	솔캠벨	0	0	0	0	0	0	0	0
DF	3	버질반다이크	0	0	0	1	0	0	0	0
MF	10	리오넬메시	2	0	3	1	0	0	4	0
MF	4	젠나로가투소	0	0	0	1	0	0	0	0
MF	17	손흥민	0	1	0	2	0	0	0	0
MF	7	크리스티아누호날두	1	1	1	1	1	0	0	1
MF	8	지네진지단	0	0	2	1	1	0	1	0
MF	32	패트릭비에이라	0	0	2	1	0	0	0	0
MF	6	이강인	0	0	0	2	0	0	0	0
MF	47	네이마르	0	0	1	4	0	0	0	0
FW	9	호나우두	0	0	1	1	0	0	0	0
FW	20	디에고마라도나	0	0	2	0	0	0	0	0
FW	23	킬리안음바페	0	0	0	2	0	0	0	0
GK	1	올리버칸	0	0	0	0	0	0	0	0
DF	18	파비오칸나바로	0	0	0	0	0	0	0	0
DF	16	솔캠벨	0	0	0	0	0	0	0	0
MF	8	지네진지단	0	0	0	1	0	0	1	0
MF	29	마켈렐레	0	0	2	2	0	0	0	0
MF	32	패트릭비에이라	0	0	0	1	0	0	0	0
MF	4	젠나로가투소	0	0	3	5	1	0	0	0
MF	13	파블로아이마르	0	0	0	3	0	0	0	0
MF	10	리오넬메시	1	0	1	1	0	0	1	0
MF	7	크리스티아누호날두	0	0	1	0	0	0	0	0
MF	17	손흥민	0	0	0	1	0	0	0	0
FW	22	에당아자르	0	0	0	1	0	0	0	0
FW	20	디에고마라도나	1	0	5	1	1	0	0	0
FW	9	호나우두	0	1	0	1	0	0	0	0
GK	1	올리버칸	0	0	0	0	0	0	0	0
DF	16	솔캠벨	0	0	0	1	1	0	0	0
DF	3	버질반다이크	0	0	1	0	0	0	0	0
MF	7	크리스티아누호날두	0	0	0	1	0	0	0	0
MF	17	손흥민	1	0	2	0	0	0	1	0
MF	13	파블로아이마르	0	0	0	2	0	0	0	0
MF	5	프란츠베켄바워	0	0	0	1	1	0	0	0
MF	32	패트릭비에이라	0	0	1	4	1	0	0	0
MF	10	리오넬메시	0	0	2	1	0	0	3	0
MF	4	젠나로가투소	0	0	0	0	0	0	0	0
MF	8	지네진지단	0	0	1	1	0	0	1	0
FW	9	호나우두	0	0	2	0	0	0	0	0
FW	22	에당아자르	0	0	1	1	1	0	1	0
FW	20	디에고마라도나	0	0	5	0	0	0	0	0
